 	liver	liver	liver	lung	lung	lung	spleen	spleen	spleen
COL6A1	5.4058	6.1894	6.1698	5.4374	4.4031	6.9033	3.711	4.5429	2.7828
AMY2B	5.9315	6.3126	6.2955	6.2447	4.0284	6.3516	4.6038	4.5256	2.9497
PYROXD2	3.0558	4.519	3.7104	5.0354	3.3243	5.8683	2.5721	2.3907	3.0713
LOC100292909	7.801	7.8682	7.998	6.0135	4.6619	6.8897	8.1634	6.6374	6.3627
LOC100131756	4.8392	4.5794	6.4595	5.8868	4.0859	6.541	2.8027	4.5794	2.9818
TMEM150C	5.2413	5.1732	4.0144	3.4642	3.4254	6.0247	2.9839	2.9651	3.6607
MUTED	5.9089	6.2702	7.0331	7.0529	6.3278	8.0598	4.8342	6.4232	3.8921
NAGK	6.595	6.7973	6.3873	4.4508	4.9791	6.9032	4.3463	7.1502	6.093
SRPK1	5.8103	6.2524	6.5811	5.3907	4.371	6.7202	3.5143	6.2419	3.306
SERPINA5	7.3517	7.3521	7.2819	6.7012	5.475	7.4052	4.317	7.1721	6.14
MCHR2	3.3295	4.2994	4.986	5.3267	3.2211	6.2726	3.2322	3.644	3.817
CHST11	6.5059	8.323	8.3169	6.1756	4.8643	7.1643	3.9013	7.7265	4.9862
DIP2A	8.9293	8.4096	9.8866	8.1742	7.7661	9.1443	7.6271	6.1497	7.3515
TCN2	4.8278	5.2405	4.4407	5.5291	4.3056	5.2893	7.9446	6.6051	6.9139
ALS2CR11	2.7343	4.5781	5.0125	4.8881	3.4835	5.7324	2.5211	4.3291	2.7052
LOC100287590	3.6462	6.6007	6.3399	6.1084	6.0681	6.7879	6.9518	9.7139	7.1562
CDH13	5.8436	4.0023	6.1676	5.7154	4.4588	6.379	10.0778	9.0143	9.1913
ZBTB20	7.7983	8.0343	7.8588	7.1844	5.7512	8.0185	3.842	7.564	5.4152
POMGNT1	7.9118	8.4681	8.1596	8.0123	6.9578	9.1546	4.7855	7.8776	7.6559
LOC100293532	5.2812	4.2099	6.2855	6.0448	4.8679	5.8621	7.2543	5.0186	7.7631
LOC100128822	4.9936	5.3132	5.2289	5.3198	5.7042	5.9995	8.1658	7.1544	7.1395
ATP6V1C2	3.9397	5.4237	3.5416	4.6037	2.9801	5.6693	6.1195	4.1985	3.7559
PDE4D	3.2354	5.7124	5.367	5.8115	4.8441	7.0943	3.6224	6.2565	5.2472
AQP8	4.0337	4.2486	4.6701	4.2024	2.7726	5.8712	2.6443	3.2955	2.2677
BET3L	7.3629	7.304	7.4758	8.7832	6.7945	8.4699	4.4552	5.7504	7.2637
LOC285965	5.6391	6.2476	6.8761	6.0707	4.4711	7.403	3.3697	4.7378	3.5954
C17orf103	7.0261	6.8058	8.1656	7.142	5.2505	7.6184	4.8801	5.774	6.0513
SIRT1	6.632	5.8518	6.3938	6.7339	4.368	7.5639	4.0243	5.5632	3.1931
SIN3A	7.2889	7.3196	8.5639	7.3943	6.5599	8.0507	3.383	5.9182	4.8752
PRC1	6.4164	5.6929	5.6958	6.8203	5.1842	7.5385	3.3794	3.9903	4.2151
CCDC106	5.0137	8.0529	7.0444	7.2459	3.499	7.995	2.6227	8.1548	8.3349
OR2A20P	4.9964	4.746	4.4049	4.3066	4.9226	4.3306	6.4434	7.5138	6.5508
LOC285095	2.6458	2.8116	3.3284	3.8883	3.4222	6.1209	3.4843	2.9432	2.6256
WWP2	3.7387	5.4649	6.0149	5.0976	3.4365	5.3898	3.1936	5.9532	3.8704
NTNG2	4.2926	5.7395	6.4846	6.2854	4.7738	6.6485	4.4982	4.6142	2.4134
SEC1	6.0324	7.6181	7.6315	7.2622	6.688	8.0916	5.0876	6.2744	4.6129
KRTAP4-11	9.196	9.4287	9.2229	9.3133	9.3243	9.8373	5.9432	9.1	7.9229
KCTD5	5.7358	5.3908	6.2609	6.0733	4.7664	6.9257	3.6386	5.5798	3.4258
SLC25A23	5.0766	7.9642	6.7299	6.2294	5.6912	7.369	4.1741	6.4253	5.1788
C10orf93	6.0593	6.737	7.5867	7.0757	3.1477	7.1844	5.7862	6.5323	7.1259
C8orf49	9.1644	9.5896	9.3895	9.1333	8.5157	9.8059	5.5964	8.8786	9.1415
CECR7	2.7324	2.7181	5.3858	5.5342	3.5081	6.5296	4.5941	3.7738	3.3315
HOXC9	7.106	6.4002	6.8204	7.6516	7.0631	8.1694	3.7372	6.488	5.3399
SLC39A1	9.2313	9.7417	9.593	10.3084	9.9815	10.2889	7.1675	10.0135	7.8854
SEMA6A	3.2989	4.2276	3.7391	4.9889	4.4007	6.7736	3.7196	3.706	2.4837
ATP8B5P	5.45	6.1774	5.2584	6.7169	5.1594	7.9594	3.8819	7.0383	4.7776
IARS	4.1578	5.4479	4.3853	5.1074	2.71	5.8567	3.3505	5.2085	3.443
LOC348120	7.3404	8.2378	8.2451	7.4265	5.3081	8.354	4.889	7.2979	3.4143
IPW	5.9211	6.2186	7.1597	6.6915	6.25	6.8891	8.0941	9.4246	7.5729
OLIG3	4.3892	5.0841	5.5955	6.6131	5.1124	7.5772	3.2777	5.1764	3.8371
NDUFS2	5.7557	5.8073	6.5171	5.6508	3.2675	7.0554	6.1526	7.8722	7.2651
FAM18B2	3.9993	4.4965	4.2651	4.9499	2.8507	6.7644	2.5666	3.533	2.6747
KCTD11	3.6064	4.5849	5.2819	5.9841	5.2167	7.0373	3.1484	4.5601	3.2266
ADC	8.3365	7.7888	9.1787	7.4542	6.1916	8.7681	5.8664	7.9713	4.9997
ZFHX4	7.7825	7.4392	7.4465	7.0909	6.7006	7.9631	4.3906	6.584	5.5874
CDC6	5.9589	3.7855	6.0054	5.5989	4.3176	7.0385	4.6948	5.2435	4.0024
C1orf172	9.251	9.6558	9.419	9.7516	9.0842	10.3102	6.4895	8.584	8.1984
HAS1	3.9462	6.2519	5.9894	5.3515	4.4447	7.3939	2.646	4.6099	2.7999
COL8A2	5.1843	7.0141	7.4335	5.8513	2.8662	7.5337	3.0604	4.2374	3.8231
LOC100287558	7.1592	7.5555	6.8231	5.9314	5.8713	7.7793	2.8229	6.5008	5.405
GCOM1	6.2373	8.1257	7.999	6.7158	5.4537	8.1543	6.2422	8.4661	6.5233
UNC50	6.4434	5.5504	6.5404	6.8538	4.6147	7.4945	3.7731	6.3449	5.2534
TP53INP2	6.8966	6.1498	5.9766	8.3202	6.3687	8.2587	5.4974	3.2764	4.0073
ASGR2	6.2362	7.4453	7.7513	6.1384	4.8435	7.5503	2.455	5.6281	3.2965
PTGES	7.7146	8.2233	8.6887	5.9389	6.1203	7.6139	5.8037	7.1252	5.5636
ELMOD3	3.5196	3.1567	3.5616	4.7773	5.1799	6.1815	3.6837	4.0759	2.7727
ITPRIPL1	6.3898	6.962	7.0777	5.7755	3.7758	7.5315	4.8852	5.9756	5.7173
LOC729013	6.1802	7.4036	7.5407	8.4218	8.3339	8.0483	9.1177	10.4077	10.5702
TXNIP	6.8094	7.7377	7.4763	6.9849	5.784	8.1327	5.7441	6.1218	4.2031
IQSEC3	5.9459	5.8635	5.7477	6.5935	5.9592	6.4805	7.9123	9.4157	7.0272
ZDHHC4	3.6731	3.0092	4.0685	4.8018	5.5531	5.6379	6.3059	5.8145	5.5127
FBN2	5.3784	3.3583	5.3533	3.9402	3.7099	6.0261	2.8549	3.0929	2.8257
PLAUR	5.5718	6.0409	5.8065	5.9357	5.4117	7.9187	3.2579	6.6912	3.6319
OTX1	9.0669	9.1463	9.228	9.1503	8.7087	9.3231	5.6254	10.1431	9.7902
LOC643072	3.5941	5.4765	4.8038	5.5675	5.5356	6.443	3.2629	3.5561	4.4912
PKD1	5.5864	6.4339	6.4172	5.2964	5.6969	7.2897	2.8855	5.933	2.9403
OVOL1	5.6983	6.6378	6.5341	5.9757	3.3735	7.1085	3.4571	5.7155	3.2677
CGNL1	6.1282	6.1737	5.9259	5.4668	5.3213	6.5462	2.6988	5.7495	2.4636
C6orf174	5.2215	6.6543	6.7006	6.9196	4.2959	7.7632	4.5672	5.9213	4.8889
ZNF473	4.8997	6.1814	5.7056	6.6531	3.8285	7.931	2.9578	5.0156	3.8379
CDKN2C	3.4198	5.8071	5.3719	4.5732	3.9643	4.8664	7.5307	5.3367	6.3501
ANKRD10	7.6361	7.6473	8.387	6.5771	3.7438	7.7508	4.8223	7.6777	4.918
LSP1	4.0303	6.9545	7.2631	5.0462	4.365	6.4394	2.8425	5.3265	4.8784
TBC1D22A	5.5569	7.0183	6.293	5.9153	4.5816	7.0919	4.0276	5.8786	4.5437
PACSIN3	6.3408	5.3006	7.53	5.8459	5.1009	7.6774	4.2643	5.8703	3.6313
CLPTM1	4.2632	5.093	4.1644	5.9736	4.9051	6.6477	3.9936	5.1581	3.1171
GUF1	6.0283	6.8877	8.0661	5.9056	3.3323	7.6481	2.5988	6.3985	3.7943
LEF1	4.8428	5.7547	6.0652	6.6439	4.7589	6.9189	2.7728	4.9253	3.0221
ZCCHC24	7.1362	7.3393	7.5606	6.0134	6.0943	7.5608	4.0248	5.212	4.5729
CCDC89	5.9438	5.7953	5.9377	5.8815	3.8519	6.9579	3.4677	5.4567	5.0519
SPOCK1	4.2472	5.279	3.7029	5.8644	4.1779	7.1234	3.4188	4.8022	3.5369
NR2E1	5.5009	5.9816	6.8964	6.1332	4.0321	7.4476	3.0415	4.2062	3.0178
HEATR1	6.1451	5.1529	6.9159	5.8314	6.0368	7.005	3.4504	5.6406	4.4765
CLTA	8.4244	8.8287	8.833	9.3018	8.3541	9.8328	5.2574	8.0468	7.5265
KCNH2	4.0923	6.1229	5.5052	5.8065	4.6183	7.313	3.9772	6.45	3.8347
LOC100132741	4.0136	4.0758	3.6923	6.2799	3.3319	7.2941	3.368	4.7958	4.0308
C3orf27	4.3855	6.0543	5.9498	6.1318	4.13	6.5199	7.6452	9.6171	6.8962
MIPOL1	6.5895	7.4284	7.3033	7.2424	6.7351	7.8536	4.1824	7.5847	6.3432
DARS2	6.4695	7.8514	8.7132	6.633	5.7342	7.5242	8.5264	6.3512	4.5186
HLA-DMA	7.4027	6.2775	6.9123	6.3017	5.2789	7.7121	5.053	7.8279	5.2321
METTL8	8.0427	7.2677	8.2422	7.2016	5.9507	8.1633	5.8931	8.8314	4.5553
DPP6	7.1542	7.7947	7.9808	8.9673	7.6471	9.327	5.3542	7.9101	7.9253
FAM172A	6.4034	5.1995	4.5008	5.0165	3.8514	6.4346	3.9632	2.7204	2.5848
NACA	5.6578	4.7138	5.0994	5.9839	5.6366	7.893	3.1521	3.6134	4.2326
EIF1AX	5.0519	6.7321	7.0485	6.9302	5.9699	7.8109	4.2036	5.4483	4.0894
SLC24A3	6.4618	7.0205	7.1386	6.6923	4.6843	7.39	5.2924	4.3991	5.1861
ZDHHC19	4.8071	2.6069	3.5369	4.5325	5.1754	5.0807	2.6869	3.1143	2.3811
PRR19	7.1757	7.8915	7.889	7.1845	6.842	7.4113	10.3628	9.7448	9.6491
GIP	6.551	7.299	7.6534	7.9119	7.1733	7.6552	4.3917	7.9393	7.1896
MFSD2A	6.9083	6.1117	6.9571	5.1357	4.3809	6.64	5.6945	5.4295	3.7888
C1orf227	6.9804	7.1456	8.2601	5.6645	5.8069	7.5742	5.7996	5.6449	5.073
TMEM180	8.5096	9.1136	8.9133	7.8299	6.6056	8.7035	6.2731	7.1672	6.6015
TARS2	5.2133	6.1121	6.0023	5.8417	5.2385	7.3706	2.8643	4.3818	4.1828
SIPA1L2	4.8092	4.8664	5.8677	6.0412	5.3999	7.1294	3.4514	6.4562	4.5703
EDA	4.4047	4.1355	5.8081	6.4979	4.0666	6.1934	3.6021	5.2254	6.433
MNX1	8.6361	7.8607	8.7705	6.6987	6.6665	7.6187	4.3294	8.9125	6.7627
AIFM3	3.0498	6.5888	6.7861	6.9019	5.2578	8.1706	4.3106	4.8274	3.7108
KAAG1	6.8314	7.7552	8.3125	9.688	8.7022	9.751	7.2432	7.5952	7.1065
FLI1	7.119	7.0947	7.7333	8.8789	6.8255	8.7024	4.9357	5.73	6.1271
CD163L1	5.4524	6.2171	5.8011	5.2614	3.1516	5.9471	3.6005	4.1503	2.8341
CHCHD2	3.8831	5.0277	2.9733	4.0386	4.4087	6.0982	2.5723	2.6868	3.3028
ITPRIPL2	5.1356	5.0696	6.0947	6.2826	3.3772	7.0303	3.6906	5.0541	3.1558
C15orf52	3.303	4.2249	2.6942	3.7183	4.1711	6.4564	2.6111	3.0834	3.4338
MRFAP1	6.013	4.3429	5.8634	4.6513	3.034	5.4182	2.9734	4.1393	3.4184
LOC100128737	4.8912	4.4816	5.1863	7.6678	6.3943	7.5748	6.0354	4.9279	5.2762
PIK3R2	3.1717	3.8081	4.3568	4.8951	3.783	6.4157	2.969	3.4778	2.8115
PLA2G2E	7.4695	7.9148	7.785	7.9918	6.7673	8.5922	5.0113	8.4681	7.1176
NMNAT3	4.7283	5.2589	5.7347	6.1388	4.1515	7.3998	3.6558	4.7686	4.0074
ANKRD30A	7.2442	6.4689	7.6886	6.4207	4.2804	7.418	4.9137	6.1129	4.0843
BCL10	5.5163	6.7356	6.6326	5.2456	5.1647	6.8149	4.2973	5.6734	3.5559
FLJ42418	5.5659	3.9246	6.0486	6.0648	5.3724	7.1849	4.8529	5.2095	3.7693
LOC400680	5.0137	3.7485	3.5369	6.88	7.3468	7.1844	3.4122	4.4799	4.68
OCEL1	6.1567	6.0405	5.7512	6.3353	5.6703	7.5782	2.8366	6.1109	6.1222
IKZF3	3.4663	7.2232	6.8464	7.0334	5.9774	7.6411	5.9051	3.9416	5.4623
SLC10A2	8.623	9.2383	9.0103	9.6642	8.8922	9.7054	6.1383	9.2543	7.6831
PPP1R13B	8.7253	9.3699	9.7539	8.4259	7.027	9.3681	5.2386	6.943	6.1522
WDR82	6.4336	4.8033	3.7258	4.523	3.731	5.9123	2.6434	4.0626	3.2002
LOC400940	7.1342	7.6382	8.6963	8.0541	4.9805	8.2178	4.9885	8.3593	6.7196
FOXO3	4.542	6.5102	6.2425	5.833	4.9662	7.6973	3.3361	4.6301	3.0053
C1orf145	7.7645	8.239	7.6299	7.8943	6.9187	8.6352	5.802	7.0661	4.772
MYBPC3	6.8038	6.4117	7.0112	6.323	6.121	7.3493	3.2331	6.7031	6.7182
RPL18	6.8558	6.5884	6.7957	5.5799	4.9713	6.3521	3.9895	4.7516	4.4415
JAK1	6.316	7.0279	7.0531	7.1288	5.5074	8.2384	3.7115	4.3958	3.335
C14orf153	6.1881	6.4932	7.3729	6.5787	4.7953	7.8971	5.2927	7.1599	5.0669
EIF3E	4.9651	2.9588	3.1206	2.9041	2.7088	5.5398	2.4733	6.0842	2.6432
CCDC41	3.8236	4.6132	3.786	5.2341	4.8187	6.7826	3.2981	4.1054	3.4146
EXOC3L2	5.2924	7.121	7.1952	7.0731	6.6356	8.0836	5.1103	6.7672	3.6323
KIAA1661	5.3004	5.6528	6.0744	4.9353	5.51	6.1126	7.2505	8.5548	6.7733
LOC349160	4.805	5.064	5.2597	4.0972	3.0656	6.5961	3.0296	3.2333	3.0418
LARP4	5.856	5.997	4.8725	5.657	4.4941	7.3788	3.7497	6.0449	3.7817
SYT2	4.2383	5.5374	3.8292	4.8826	3.4988	7.146	3.831	4.2502	5.8971
LOC284950	6.55	5.1042	5.2154	4.5515	5.3724	6.373	3.6109	3.5845	3.4661
U2AF1	5.0445	6.0852	7.128	4.145	4.4575	6.1645	5.4178	7.4562	5.4231
NLRP8	11.1561	10.8609	10.6638	12.1811	11.1824	11.9413	9.6852	7.7371	8.0385
UXT	5.7825	5.7117	6.9642	6.4765	5.1322	7.2924	2.5387	4.2819	3.9541
DKC1	4.488	4.7854	5.6162	5.9191	5.442	6.3698	3.2852	2.8521	2.6815
PCDH20	5.2873	6.1968	5.268	6.5501	3.9992	7.6471	5.1078	6.0302	4.307
FAM158A	6.6564	6.1977	5.7726	5.029	2.9229	6.4962	2.5911	5.0785	3.7109
PAPPA2	6.243	6.6497	6.7371	7.6559	7.6553	8.0594	4.5592	6.1095	5.0533
PIGX	5.5184	5.8425	5.0174	5.3458	3.7671	7.5908	3.1606	4.7568	3.5124
BCAP29	6.7887	6.2118	7.1986	5.9446	2.2576	6.6471	3.9932	6.5967	7.318
DTD1	8.4202	7.775	8.9503	7.9701	5.3137	8.6992	5.4334	7.0286	5.8888
CYTH3	7.3558	7.4076	7.9207	7.3231	5.0514	7.8203	3.2386	6.4394	3.8459
P2RY14	7.1951	6.9607	6.3131	6.3439	5.7223	7.5657	4.0932	5.1063	3.8073
SNORD104	5.1793	6.7565	5.5306	6.38	6.5654	7.1323	8.3831	10.1595	8.0522
GJA5	7.8495	8.5538	8.4034	6.9173	7.3062	8.1897	4.8725	6.8963	5.8877
RPL3L	7.3453	8.1126	7.694	8.3142	7.9524	9.4058	4.7481	7.8789	7.4596
PCBD2	6.4597	6.6342	5.8951	5.8818	3.933	7.1057	3.9883	4.3999	3.5292
ACACB	4.6341	7.0805	7.3971	5.0443	4.7729	5.7955	4.7868	7.3989	5.6289
MRPS26	7.6809	6.8206	8.0497	7.97	7.4974	8.651	5.3015	6.6774	6.0725
HMGN3	5.1961	3.0092	5.7335	6.1455	6.5409	6.7916	2.9053	2.9699	2.3811
TNFSF11	5.9729	6.8892	5.029	6.713	5.3649	7.9498	4.0084	4.6715	3.3291
SEPT9	3.6122	5.8838	4.8913	5.8087	4.6971	6.2051	2.8788	2.8158	3.357
LGI1	5.7561	5.8852	6.4821	6.7099	6.0813	7.1009	3.4007	5.2274	4.4396
JMJD7	4.3998	4.4964	4.8945	5.1685	6.457	5.9537	8.7744	7.7926	8.0669
LELP1	7.59	8.1349	8.8505	7.8437	6.4388	8.4404	4.2753	7.2148	4.9781
RLN2	6.8755	5.8806	7.5124	7.0216	5.5051	8.2262	3.4796	6.1407	4.6728
FNBP1	3.4405	6.413	5.5611	4.9593	3.231	6.5555	4.2298	3.4073	3.0393
RRAD	5.3017	5.3346	3.9549	3.4102	3.0994	5.7814	2.6663	3.0337	3.4011
LOC100128893	5.59	6.8611	5.3315	6.2972	5.7642	7.1934	8.415	9.4256	7.202
ANO5	10.2743	10.4509	10.2307	10.3617	9.9096	10.8497	6.7023	9.7091	8.5017
CEP55	6.159	6.0641	7.8378	7.0249	6.1227	8.4959	4.287	5.4427	6.2009
PR47	5.9289	7.4358	6.9369	6.2152	5.1218	7.315	4.0716	5.3046	4.8188
LOC100129500	4.7971	5.1932	5.2654	5.4524	5.1341	6.6252	3.1181	3.1508	3.5536
CCDC19	5.4207	4.872	5.2927	6.4629	4.4787	6.9697	3.0692	4.3807	5.0073
GFER	4.8742	4.0742	5.6907	5.7505	3.3488	5.6567	3.2363	4.4277	2.8797
MTMR7	3.9196	4.5515	5.0044	5.2823	3.2585	6.0651	5.3056	6.9991	5.149
CMKLR1	7.1555	8.203	8.3428	9.2679	8.4858	9.3851	5.7559	7.5386	8.4348
PTH	5.2812	5.657	7.0444	5.547	5.3088	4.8762	3.7921	5.3883	2.6696
DLEU7	11.0663	11.097	10.9788	10.055	10.2375	9.2365	7.5877	10.1579	10.2589
TNNT2	8.6144	9.3152	10.1191	9.0542	7.1958	9.7035	5.6863	8.0256	5.4737
ELMOD2	6.8189	7.0588	7.0416	5.9986	3.1127	6.166	5.3056	7.405	6.9235
RGS14	6.719	7.4571	6.9001	6.9347	6.6395	8.1633	4.8586	7.3484	4.9085
CLEC4G	5.981	8.0522	8.1764	8.4421	8.2924	9.4154	6.2941	8.7046	7.7937
FAM129A	4.3128	6.553	7.2358	7.5335	7.3448	7.9509	6.4724	8.0609	8.3905
C14orf167	5.747	7.2501	6.4802	6.6019	6.5474	8.2379	3.8553	6.2067	5.3352
MCAT	4.708	2.9053	7.0025	5.5598	5.3693	6.0204	5.6475	4.7242	4.5258
PDIA5	4.7403	4.8814	4.8517	4.8628	4.8211	5.0345	7.1696	8.0472	6.8205
LOC728475	4.2225	6.8213	7.6194	6.2868	3.7868	6.9709	6.4105	6.1201	6.3073
KAT2A	5.9052	7.1089	6.5058	7.1055	5.5533	7.1708	3.4272	5.8105	5.7463
NR1H3	6.6204	6.4091	7.9594	7.0323	5.0969	7.9523	4.3213	5.7103	3.7772
NSUN5	4.5168	4.2096	4.0677	4.6363	2.8137	6.6455	3.2994	4.1896	3.062
PCLO	8.6484	9.2338	9.2017	9.513	9.6043	9.7399	6.8286	8.8547	7.1326
NKIRAS1	2.5144	6.6897	5.8918	4.4304	2.6069	4.8856	2.1958	3.0019	2.5848
UBE2E1	3.7532	3.1529	3.0468	5.094	3.6985	6.0375	2.4254	2.779	2.6696
CRYGS	7.6706	8.06	8.9246	6.2282	6.4333	6.7671	9.3522	7.9925	7.8425
PODXL	6.8813	4.1039	6.5581	6.9581	7.0175	6.9773	7.1532	12.3303	5.4244
DFNB59	5.8671	6.9309	7.0286	6.7417	6.2707	7.2854	4.3768	5.3088	4.5985
C2orf82	5.0105	7.0114	6.7446	7.1496	6.6693	7.8697	4.5287	7.1255	6.4012
MTMR6	6.5153	6.3872	6.4095	5.7857	3.3323	6.1429	6.6395	6.329	4.9785
KREMEN2	5.3816	5.8227	5.5747	7.0238	6.1936	7.465	3.6036	6.1918	5.2893
LCAT	5.7591	7.066	7.1385	7.6382	6.3394	8.3112	5.2297	6.8201	4.8046
OR5K1	7.9499	8.1973	8.8143	6.8803	5.1557	7.815	8.1288	7.2744	6.5301
RLTPR	5.3247	6.7457	7.1063	6.0601	5.4201	8.0136	4.8546	5.9535	4.5272
GNE	6.7155	7.0746	6.7598	5.8419	3.6695	7.8377	6.8456	6.8647	7.2068
OR5P2	6.2592	5.2986	6.5581	5.657	2.8068	7.152	4.293	6.1702	4.8945
IP6K3	6.8214	7.716	7.8933	8.9146	8.3981	8.7326	9.7342	11.399	11.4497
SMYD2	4.6112	3.927	5.7191	4.8916	4.143	6.3633	2.8366	3.8482	2.738
SLC45A4	3.2849	6.2457	5.2475	3.7352	3.1937	4.9727	3.6184	2.7397	3.2334
DUSP2	6.5864	7.0353	6.1215	6.8536	7.271	6.8516	8.4743	10.5237	8.0576
MYO10	3.6932	2.9022	3.2779	4.9028	3.8065	6.5625	2.4154	4.2443	3.9047
METT5D1	5.4915	5.3723	5.3256	6.2052	5.417	8.4451	4.0578	4.8331	5.4321
LOC644794	7.2316	6.729	7.1211	5.0944	3.22	5.7837	3.1538	5.3272	4.9402
SUCLG2	6.6627	7.3011	8.0383	7.0821	4.1924	8.2091	4.4754	6.5223	5.7805
EHHADH	3.6812	5.8383	5.7548	5.2408	5.1829	6.8319	4.3843	6.8591	3.2579
FLJ38109	6.849	6.7666	7.0194	7.355	5.8954	8.4488	4.0355	6.8046	4.1977
C2orf79	3.3375	4.549	5.7562	5.9719	5.8575	7.8768	4.6777	4.8028	4.5693
TUBA3D	5.5609	5.0164	5.777	7.4306	4.7122	7.6971	6.6323	3.9968	5.9338
NRBF2	4.384	5.8298	5.2134	6.2345	4.9427	6.2515	6.9793	9.1331	9.3557
LOC100131613	5.1239	6.5048	6.0366	5.6129	5.0149	7.1137	4.2057	4.332	3.6646
NOD2	4.1529	4.4891	5.2382	7.1618	4.918	7.2475	5.9732	4.32	4.0008
LOC654841	9.3562	10.049	9.9104	9.3296	8.9266	9.5525	6.949	9.1161	6.6394
NSMCE1	6.2792	6.7354	7.0934	7.0061	6.2419	7.5503	3.6467	7.2408	7.0757
LOC651721	6.0182	6.8975	7.3769	6.2403	5.3096	7.7047	3.476	5.0441	4.8062
PPP6C	3.9889	5.005	5.7729	6.0529	3.3243	6.647	3.9979	4.2511	3.8309
LOC286135	4.4728	4.3945	5.1998	4.535	3.266	6.5215	2.7445	3.5072	3.3456
ZNF287	4.4635	5.7063	4.0153	4.2883	2.6728	5.082	2.9066	4.0914	2.4072
CXorf38	5.5704	5.1421	6.181	5.7975	5.5233	5.7341	7.689	8.8747	7.1177
C1orf156	4.4124	4.1242	5.3714	4.8533	5.6199	6.2319	6.8475	7.967	6.7604
C1orf9	3.0019	3.9755	4.9402	5.3466	2.8107	5.7948	6.336	5.0547	5.5127
B3GNT1	7.6424	8.9259	8.7568	9.7811	8.634	10.0531	6.3881	9.1833	7.6635
IGFBP2	7.583	8.2964	7.5323	7.744	6.6878	8.1854	5.0712	6.0677	5.0796
KLK4	6.3201	6.584	6.9579	7.7377	6.4593	8.7509	3.8963	7.6466	6.2306
GSTM1	4.0499	3.0439	4.9789	4.9333	4.1445	6.1711	2.828	3.1083	4.5248
RFPL2	6.5893	6.8461	7.4555	6.4155	6.4049	7.8002	5.1968	5.3906	4.1335
NDUFC2	5.9885	4.7373	3.6953	5.5287	3.6393	6.6224	3.3749	4.2583	2.9266
RNF123	5.9677	5.7594	5.6419	5.9571	5.4833	5.9619	7.925	8.2054	7.5152
TSHZ1	5.165	5.3849	5.3658	5.4514	4.9335	6.2783	3.6858	4.4696	2.5904
WWC1	3.9725	4.156	3.2616	5.0928	3.0067	6.5164	4.6726	5.3952	4.8925
CMTM4	6.4404	6.8284	6.7376	6.5047	6.0135	7.5151	4.1648	5.9079	4.4374
CA7	5.1072	5.8999	4.3395	7.8174	6.2009	8.1132	2.5026	2.1494	2.5848
PILRB	3.119	3.6234	5.3069	5.006	3.5048	6.2853	2.8643	3.8729	2.8062
C15orf41	7.7502	8.6933	8.7627	9.3821	8.6122	9.9171	5.416	8.4871	8.3188
LOC339807	6.8463	6.6021	7.5115	6.0941	3.0991	7.222	3.7788	3.7211	3.6646
LOC400541	4.7521	3.982	3.7661	4.5539	3.8965	4.4281	5.1163	7.487	5.5379
SSR2	8.0924	7.9997	8.9581	8.1168	6.6635	8.9721	6.2265	7.8874	5.9262
LOC100190939	6.0841	6.2443	6.9319	5.9424	4.3998	6.521	4.6839	6.8523	3.2577
HS3ST3A1	4.9349	3.7708	5.1051	6.0629	6.2051	7.0535	3.5443	4.8146	6.0997
PAPD4	7.6864	7.5637	7.5958	7.0144	4.883	7.8179	3.47	7.1061	5.2772
PTPRU	6.8515	7.8083	7.2314	7.754	6.1187	8.5545	5.2007	8.2188	6.4275
LOC285577	6.0589	6.3701	5.7399	6.1718	6.385	7.7491	4.0252	5.6935	4.4061
GLTPD2	7.9888	8.133	8.0438	5.5553	3.999	6.8627	3.1835	7.952	5.7092
CCDC108	5.8084	6.9433	6.2876	6.6014	5.6529	7.4898	3.7585	5.8279	4.0463
MGC27345	3.4142	4.4522	5.7803	5.6855	3.2463	6.365	3.9892	3.5042	3.265
EEFSEC	7.1483	7.8167	7.5502	7.178	6.8511	8.3498	4.5584	6.7302	5.3115
ARHGAP24	8.7886	8.9767	8.7779	9.1446	8.505	9.6655	5.8729	8.2226	7.2963
RASSF4	5.8254	5.4103	5.8757	4.8133	4.7398	6.2744	3.0496	3.9473	3.8513
DLEU2	4.5708	4.7581	6.5228	5.9637	4.8876	6.7301	3.0175	5.8278	3.082
KIF24	7.1545	7.7599	7.8614	7.9325	6.3615	8.5433	5.1599	5.8991	4.9709
PFAS	6.0657	6.5509	4.9419	6.6193	3.6996	5.084	3.8789	4.0427	4.0887
GPR61	7.3381	6.9033	8.6072	6.6023	5.6969	7.6555	4.7248	7.0711	4.0205
PSORS1C3	5.2099	6.4461	6.8751	6.8424	6.9666	7.7897	5.1479	5.6944	4.05
HSD17B8	8.7723	7.7417	9.2392	8.0337	5.9166	8.6715	4.7576	7.8833	6.0848
PDIA6	3.6941	4.3301	5.0282	5.2586	4.9675	5.8811	5.2252	7.6423	6.6281
PLEKHO1	4.1098	4.9604	4.287	4.1894	3.8597	6.7337	3.2576	5.3968	3.5077
KIF22	4.8696	4.4691	4.7487	6.539	5.777	7.0747	4.5884	3.0224	4.4554
AGAP10	6.0827	7.2109	7.0718	7.3143	5.911	8.248	4.4328	6.1104	4.9998
FZD7	6.1635	7.0129	6.2821	7.5088	7.1686	7.5561	9.5839	11.438	11.0475
